iter	MultiClass
444	-0.5350908086
445	-0.5347329037
446	-0.5344566099
447	-0.5340856861
448	-0.5338406599
449	-0.5336366811
450	-0.5333601127
451	-0.5332037308
452	-0.5328950761
453	-0.5327681481
454	-0.5325507819
455	-0.5322905269
456	-0.5321813076
457	-0.5318301945
458	-0.5317117068
459	-0.5313556641
460	-0.531173979
461	-0.5309370373
462	-0.5306503029
463	-0.5304815978
464	-0.5302294094
465	-0.529927554
466	-0.529771739
467	-0.5296356021
468	-0.5294724104
469	-0.5293101552
470	-0.5290919391
471	-0.5288216853
472	-0.5285883357
473	-0.5283349842
474	-0.5281193798
475	-0.5278164603
